latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km,NDVI,NDBI,NDWI
22.98929,72.44418,332.33,0.44,0.46,2026-03-23,846,N20,VIIRS,l,2,305.78,5.06,D,0,153,651103958,,,industrial,,,4302.94,0,0,0,4.303,0.1814385150812065,0.2856341189674523,-0.31169500257599175
22.97839,72.56555,312.46,0.42,0.45,2026-03-23,2114,N20,VIIRS,n,2,290.99,1.32,N,2,226,730859587,,,industrial,,,312.77,1,3,7,0.313,0.07346647646219687,0.15043748235958226,-0.17348927875243664
22.9001,72.54078,338.29,0.46,0.39,2026-03-25,809,N20,VIIRS,l,2,313.2,4.95,D,0,200,663471281,,,industrial,,,3707.3,0,0,0,3.707,0.5249679897567221,0.02055921052631579,-0.5568627450980392
22.90485,72.6528,343.68,0.45,0.39,2026-03-25,809,N20,VIIRS,n,2,305.4,5.74,D,0,196,663457137,,,industrial,,,2001.32,0,0,0,2.001,0.12307348670985034,0.14649465286029537,-0.2523038605230386
23.15413,72.45323,305.62,0.48,0.4,2026-03-25,2037,N20,VIIRS,n,2,288.62,0.88,N,0,343,920078109,,,,works,,434.21,1,8,24,0.434,0.5356019445238777,-0.01206181681115718,-0.5529207634470792
22.81597,72.42524,340.21,0.57,0.52,2026-03-26,750,N20,VIIRS,n,2,306.28,6.63,D,0,231,871656251,,,industrial,,,4567.73,0,0,0,4.568,0.39752407152682256,0.12338222605694564,-0.46962391513982643
22.77055,72.26617,342.71,0.59,0.7,2026-03-27,731,N20,VIIRS,n,2,300.3,5.74,D,0,155,651106993,,,industrial,,,4721.89,0,0,0,4.722,0.1659087081017349,0.04007765913188185,-0.33939628482972134
22.77288,72.2662,346.77,0.58,0.7,2026-03-27,731,N20,VIIRS,n,2,299.25,7.43,D,0,155,651106993,,,industrial,,,4843.12,0,0,0,4.843,0.20417168070597674,0.08069208390751799,-0.37517178195144296
22.82045,72.5416,330.62,0.56,0.69,2026-03-27,912,N20,VIIRS,l,2,301.69,3.76,D,0,49,197365170,,,industrial,,,4775.49,0,0,0,4.775,0.14544650751547303,0.1671488267438123,-0.25350749879051765
23.01342,72.28349,339.03,0.54,0.68,2026-03-27,912,N20,VIIRS,n,2,300.99,3.09,D,0,297,920036328,,,,works,,922.53,0,1,23,0.923,0.0011280315848843769,0.044671689989235736,-0.04181951577402788
23.05063,72.27502,339.35,0.54,0.68,2026-03-27,912,N20,VIIRS,n,2,300.36,4.43,D,0,211,663776377,,,industrial,,,1771.81,0,0,2,1.772,0.7550260610573343,-0.329385222786238,-0.629450397511234
23.21547,72.43324,330.37,0.55,0.68,2026-03-27,912,N20,VIIRS,l,2,300.86,3.58,D,0,448,13478804,,,,,generator,4253.98,0,0,0,4.254,0.33648474430597336,0.0011241368235105186,-0.4718409843823947
22.98062,72.56441,305.97,0.52,0.67,2026-03-27,2139,N20,VIIRS,n,2,294.65,1.5,N,2,226,730859587,,,industrial,,,516.34,0,4,9,0.516,0.1273854961832061,0.14275349174678034,-0.2680440032197478
22.95219,72.40082,331.98,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.5,3.98,D,0,147,651103946,,,industrial,,,4581.92,0,0,0,4.582,0.18594594594594593,0.16498572787821122,-0.3024636390620362
23.0425,72.33364,345.96,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.73,12.56,D,0,209,663762914,,,industrial,,,2410.09,0,0,0,2.41,0.5013477088948787,-0.04916180071576568,-0.552396878483835
23.04304,72.33891,343.78,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,304.44,12.56,D,0,209,663762914,,,industrial,,,2670.75,0,0,0,2.671,0.2153256704980843,0.21653219166803886,-0.3961267605633803
23.04467,72.33624,367.0,0.54,0.51,2026-03-28,853,N20,VIIRS,h,2,304.55,21.75,D,0,209,663762914,,,industrial,,,2723.66,0,0,0,2.724,0.1540923639689072,0.08506524891251813,-0.3482905982905983
23.13341,72.34417,342.59,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.31,5.12,D,0,430,1378877884,,,industrial,,,5611.87,0,0,0,5.612,0.5827746260959258,-0.1043540842029507,-0.5926310326933056
23.14455,72.31611,340.29,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,300.68,4.98,D,0,430,1378877884,,,industrial,,,6006.32,0,0,0,6.006,0.31094658910629297,0.17366666666666666,-0.4362688296639629
23.14731,72.31373,332.81,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,297.94,4.67,D,0,430,1378877884,,,industrial,,,5980.01,0,0,0,5.98,0.17494949494949494,0.11758458504020634,-0.28986471501441563
22.99295,72.67189,304.41,0.53,0.5,2026-03-28,2121,N20,VIIRS,n,2,292.97,1.08,N,0,372,1222271351,Vastral Bus Depot,bus_depot,industrial,,,2176.93,0,0,0,2.177,0.2448361332966125,0.16218721037998146,-0.3950617283950617
22.83125,72.57391,341.08,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,307.79,4.38,D,0,49,197365170,,,industrial,,,1711.19,0,0,1,1.711,0.199203187250996,0.12168077035307849,-0.3629160063391442
22.8515,72.48209,336.4,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,305.29,3.65,D,0,13,4398393889,Shri Raj meatal,,,works,,7391.68,0,0,0,7.392,0.24912135621252843,0.07402298850574712,-0.3992589161648912
22.88402,72.64179,338.0,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,305.26,2.63,D,0,196,663457137,,,industrial,,,3683.12,0,0,0,3.683,0.22822920038847525,0.16834721613327489,-0.3420587194906261
22.88669,72.64285,339.23,0.45,0.39,2026-03-29,834,N20,VIIRS,n,2,306.86,3.88,D,0,196,663457137,,,industrial,,,3437.57,0,0,0,3.438,0.21084203510331037,0.12139287441560535,-0.31167268351383876
23.24766,72.26569,338.67,0.44,0.38,2026-03-29,834,N20,VIIRS,n,2,301.42,2.82,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,7504.92,0,0,0,7.505,0.16386969397828233,0.08082120582120582,-0.3402804092459265
22.7878,72.48606,340.11,0.41,0.37,2026-03-30,815,N20,VIIRS,l,2,311.42,5.51,D,0,224,674885115,,,industrial,,,8948.54,0,0,0,8.949,0.16271299699298364,0.2613033326257695,-0.3181818181818182
22.87034,72.6946,338.93,0.4,0.37,2026-03-30,815,N20,VIIRS,l,2,311.13,5.43,D,0,196,663457137,,,industrial,,,4193.92,0,0,0,4.194,0.3280531425651507,0.06173285198555957,-0.4422863485016648
22.90777,72.27724,344.97,0.41,0.37,2026-03-30,815,N20,VIIRS,n,2,313.2,5.07,D,0,411,1319229897,,,industrial,,,6562.36,0,0,0,6.562,0.23223753976670203,0.09147771696637999,-0.3761250592136428
22.91181,72.28054,337.24,0.41,0.37,2026-03-30,815,N20,VIIRS,l,2,309.96,5.07,D,0,411,1319229897,,,industrial,,,6267.52,0,0,0,6.268,0.5646704949412087,0.009691934925579786,-0.5464864864864865
22.91519,72.27989,343.9,0.41,0.37,2026-03-30,815,N20,VIIRS,n,2,308.71,5.4,D,0,411,1319229897,,,industrial,,,5897.89,0,0,0,5.898,0.1737689393939394,0.22031766000943545,-0.3023377987916995
22.94102,72.52146,340.12,0.45,0.47,2026-03-31,756,N20,VIIRS,n,2,304.95,4.33,D,0,75,321136519,,,industrial,,,3297.65,0,0,0,3.298,0.1844144343590879,0.1614420062695925,-0.35580334515965534
23.0004,72.32112,330.95,0.46,0.63,2026-04-01,737,N20,VIIRS,l,2,304.52,1.22,D,0,47,196518647,,,industrial,,,2317.72,0,0,0,2.318,0.22242221650809976,0.15843512126040007,-0.34104372355430185
23.07302,72.31764,334.02,0.46,0.63,2026-04-01,738,N20,VIIRS,l,2,305.2,3.82,D,0,432,1392906565,Canal Solar Power Project,,,,plant,1921.79,0,0,9,1.922,0.1891332470892626,0.170995670995671,-0.300509337860781
22.84739,72.51508,347.67,0.35,0.56,2026-04-02,859,N20,VIIRS,n,2,306.38,3.94,D,0,200,663471281,,,industrial,,,6553.87,0,0,0,6.554,0.2524485308814711,0.12461581447331657,-0.4144469525959368
22.87535,72.47784,334.26,0.34,0.56,2026-04-02,859,N20,VIIRS,n,2,303.57,4.09,D,0,13,4398393889,Shri Raj meatal,,,works,,5210.27,0,0,0,5.21,0.18710224862112856,0.2120529428330048,-0.34325492078732595
23.23714,72.30925,340.62,0.34,0.56,2026-04-02,859,N20,VIIRS,n,2,307.91,2.55,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,3111.58,0,0,0,3.112,0.27048494983277593,0.0813180169286578,-0.41348837209302325
23.03316,72.45387,334.41,0.53,0.42,2026-04-03,840,N20,VIIRS,n,2,289.49,5.46,D,0,285,920032697,,,industrial,,,2456.49,0,0,0,2.456,0.09392876914559882,0.052581109157743326,-0.18654923939151322
22.93506,72.25756,338.4,0.57,0.43,2026-04-05,803,N20,VIIRS,n,2,307.26,3.44,D,0,411,1319229897,,,industrial,,,3179.84,0,0,0,3.18,0.6717495987158909,-0.16596697453120626,-0.6350078492935636
23.21997,72.28629,342.66,0.56,0.43,2026-04-05,803,N20,VIIRS,n,2,312.71,12.36,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,5980.42,0,0,0,5.98,0.17757774140752863,0.1476380867762476,-0.3250460405156538
23.11073,72.68373,335.18,0.34,0.56,2026-04-06,744,N20,VIIRS,n,2,305.64,5.25,D,0,67,321003785,,,industrial,,,1923.66,0,0,1,1.924,0.4545877969259432,0.018387553041018388,-0.5127149430854928
23.11145,72.687,367.0,0.34,0.56,2026-04-06,744,N20,VIIRS,h,2,305.37,5.25,D,0,67,321003785,,,industrial,,,2217.75,0,0,0,2.218,0.37231612608497033,0.03779628443305574,-0.4812623274161736
22.9166,72.2655,338.38,0.42,0.61,2026-04-07,905,N20,VIIRS,n,2,293.48,6.01,D,0,411,1319229897,,,industrial,,,5307.08,0,0,0,5.307,0.29979035639413,0.1698744769874477,-0.40789100198694295
22.98144,72.56304,304.68,0.41,0.61,2026-04-07,2133,N20,VIIRS,n,2,291.02,0.88,N,2,226,730859587,,,industrial,,,683.64,0,3,9,0.684,0.5050505050505051,-0.05510068599247621,-0.5017322834645669
22.85114,72.42912,339.79,0.43,0.46,2026-04-08,846,N20,VIIRS,n,2,307.57,3.41,D,0,244,871663117,,,industrial,,,2633.57,0,0,0,2.634,0.36376083979917845,0.04046242774566474,-0.43378119001919385
