latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
23.07302,72.31764,334.02,0.46,0.63,2026-04-01,738,N20,VIIRS,l,2,305.2,3.82,D,0,432,1392906565,Canal Solar Power Project,,,,plant,1921.79,0,0,9,1.922
22.84739,72.51508,347.67,0.35,0.56,2026-04-02,859,N20,VIIRS,n,2,306.38,3.94,D,0,200,663471281,,,industrial,,,6553.87,0,0,0,6.554
22.87535,72.47784,334.26,0.34,0.56,2026-04-02,859,N20,VIIRS,n,2,303.57,4.09,D,0,13,4398393889,Shri Raj meatal,,,works,,5210.27,0,0,0,5.21
23.23714,72.30925,340.62,0.34,0.56,2026-04-02,859,N20,VIIRS,n,2,307.91,2.55,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,3111.58,0,0,0,3.112
23.03316,72.45387,334.41,0.53,0.42,2026-04-03,840,N20,VIIRS,n,2,289.49,5.46,D,0,285,920032697,,,industrial,,,2456.49,0,0,0,2.456
22.93506,72.25756,338.4,0.57,0.43,2026-04-05,803,N20,VIIRS,n,2,307.26,3.44,D,0,411,1319229897,,,industrial,,,3179.84,0,0,0,3.18
23.21997,72.28629,342.66,0.56,0.43,2026-04-05,803,N20,VIIRS,n,2,312.71,12.36,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,5980.42,0,0,0,5.98
23.11073,72.68373,335.18,0.34,0.56,2026-04-06,744,N20,VIIRS,n,2,305.64,5.25,D,0,67,321003785,,,industrial,,,1923.66,0,0,1,1.924
23.11145,72.687,367.0,0.34,0.56,2026-04-06,744,N20,VIIRS,h,2,305.37,5.25,D,0,67,321003785,,,industrial,,,2217.75,0,0,0,2.218
22.9166,72.2655,338.38,0.42,0.61,2026-04-07,905,N20,VIIRS,n,2,293.48,6.01,D,0,411,1319229897,,,industrial,,,5307.08,0,0,0,5.307
