grid_lat,grid_lon,first_detection,last_detection,total_detections,detection_days,average_frp,maximum_frp,latitude,longitude,observation_period_days,detection_frequency,persistence
23.0,72.32,2026-04-01,2026-04-01,1,1,1.22,1.22,23.0004,72.32112,1,1.0,Non-Persistent
23.02,72.27,2026-05-14,2026-05-14,1,1,1.14,1.14,23.02881,72.27522,1,1.0,Non-Persistent
22.96,72.59,2026-03-14,2026-03-14,1,1,1.08,1.08,22.96043,72.59915,1,1.0,Non-Persistent
22.99,72.67,2026-03-28,2026-03-28,1,1,1.08,1.08,22.99295,72.67189,1,1.0,Non-Persistent
22.95,72.34,2026-05-07,2026-05-07,1,1,1.04,1.04,22.9559,72.34708,1,1.0,Non-Persistent
22.76,72.29,2026-05-21,2026-05-21,1,1,0.93,0.93,22.76736,72.29189,1,1.0,Non-Persistent
22.77,72.33,2026-05-21,2026-05-21,1,1,0.91,0.91,22.77568,72.33967,1,1.0,Non-Persistent
23.12,72.52,2026-05-19,2026-05-19,1,1,0.88,0.88,23.12602,72.52242,1,1.0,Non-Persistent
23.15,72.45,2026-03-25,2026-03-25,1,1,0.88,0.88,23.15413,72.45323,1,1.0,Non-Persistent
23.03,72.27,2026-05-14,2026-05-14,1,1,0.83,0.83,23.03378,72.27535,1,1.0,Non-Persistent
22.91,72.44,2026-05-22,2026-05-22,1,1,0.68,0.68,22.91299,72.44592,1,1.0,Non-Persistent
23.08,72.4,2026-04-14,2026-04-14,1,1,0.58,0.58,23.08708,72.40451,1,1.0,Non-Persistent
22.97,72.81,2026-03-20,2026-03-20,1,1,0.46,0.46,22.97388,72.81726,1,1.0,Non-Persistent
22.8,72.56,2026-03-19,2026-03-19,1,1,0.28,0.28,22.80784,72.5648,1,1.0,Non-Persistent
